15:28:19 | Alertas=['MEDIUM_LATENCY'] | Latency=73.29511642456055 | Traffic=1
15:28:21 | Alertas=['MEDIUM_LATENCY'] | Latency=77.93402671813965 | Traffic=12
15:28:23 | Alertas=['MEDIUM_LATENCY'] | Latency=79.1771411895752 | Traffic=7
15:28:25 | Alertas=['MEDIUM_LATENCY'] | Latency=82.11112022399902 | Traffic=1
15:28:27 | Alertas=['MEDIUM_LATENCY'] | Latency=78.2155990600586 | Traffic=3
15:28:30 | Alertas=['MEDIUM_LATENCY'] | Latency=71.89559936523438 | Traffic=18
15:28:32 | Alertas=[] | Latency=67.85750389099121 | Traffic=6
15:28:34 | Alertas=['MEDIUM_LATENCY'] | Latency=85.14523506164551 | Traffic=23
15:28:36 | Alertas=['MEDIUM_LATENCY'] | Latency=83.21690559387207 | Traffic=5
15:28:38 | Alertas=['MEDIUM_LATENCY'] | Latency=91.65310859680176 | Traffic=38
15:28:40 | Alertas=['MEDIUM_LATENCY'] | Latency=74.18203353881836 | Traffic=1
15:28:42 | Alertas=['MEDIUM_LATENCY'] | Latency=80.71541786193848 | Traffic=6
15:28:45 | Alertas=['MEDIUM_LATENCY'] | Latency=74.82099533081055 | Traffic=44
15:28:47 | Alertas=['MEDIUM_LATENCY'] | Latency=76.00522041320801 | Traffic=10
15:28:49 | Alertas=['MEDIUM_LATENCY'] | Latency=83.26363563537598 | Traffic=5
15:28:51 | Alertas=['MEDIUM_LATENCY'] | Latency=82.31925964355469 | Traffic=6
15:28:53 | Alertas=['MEDIUM_LATENCY'] | Latency=83.05191993713379 | Traffic=6
15:28:55 | Alertas=['MEDIUM_LATENCY'] | Latency=74.07832145690918 | Traffic=4
15:28:57 | Alertas=['MEDIUM_LATENCY'] | Latency=82.10253715515137 | Traffic=6
15:29:00 | Alertas=['MEDIUM_LATENCY'] | Latency=83.16707611083984 | Traffic=16
15:29:02 | Alertas=['MEDIUM_LATENCY'] | Latency=83.27889442443848 | Traffic=32
15:29:04 | Alertas=['MEDIUM_LATENCY'] | Latency=76.92861557006836 | Traffic=23
15:29:06 | Alertas=['MEDIUM_LATENCY'] | Latency=86.669921875 | Traffic=10
15:29:08 | Alertas=['MEDIUM_LATENCY'] | Latency=83.05025100708008 | Traffic=14
15:29:10 | Alertas=['MEDIUM_LATENCY'] | Latency=89.65373039245605 | Traffic=4
15:29:13 | Alertas=['MEDIUM_LATENCY'] | Latency=78.03153991699219 | Traffic=3
15:29:15 | Alertas=['MEDIUM_LATENCY'] | Latency=83.49609375 | Traffic=13
15:29:17 | Alertas=['MEDIUM_LATENCY'] | Latency=81.68792724609375 | Traffic=7
15:29:19 | Alertas=['MEDIUM_LATENCY'] | Latency=83.2369327545166 | Traffic=14
15:29:21 | Alertas=['MEDIUM_LATENCY'] | Latency=90.5771255493164 | Traffic=2
15:29:23 | Alertas=['MEDIUM_LATENCY'] | Latency=81.17532730102539 | Traffic=1
15:29:26 | Alertas=['MEDIUM_LATENCY'] | Latency=84.52701568603516 | Traffic=13
15:29:28 | Alertas=['MEDIUM_LATENCY'] | Latency=81.56085014343262 | Traffic=2
15:29:30 | Alertas=['MEDIUM_LATENCY'] | Latency=78.30071449279785 | Traffic=17
15:29:32 | Alertas=['MEDIUM_LATENCY'] | Latency=82.94343948364258 | Traffic=11
15:29:34 | Alertas=['MEDIUM_LATENCY'] | Latency=81.54511451721191 | Traffic=31
15:29:36 | Alertas=['MEDIUM_LATENCY'] | Latency=85.26086807250977 | Traffic=20
15:29:39 | Alertas=['MEDIUM_LATENCY', 'MEDIUM_TRAFFIC'] | Latency=81.44950866699219 | Traffic=88
15:29:41 | Alertas=['MEDIUM_LATENCY'] | Latency=86.49277687072754 | Traffic=38
15:29:43 | Alertas=['MEDIUM_LATENCY'] | Latency=72.84355163574219 | Traffic=28
15:29:45 | Alertas=[] | Latency=67.67868995666504 | Traffic=17
15:29:47 | Alertas=['MEDIUM_LATENCY'] | Latency=78.98330688476562 | Traffic=34
15:29:49 | Alertas=['HIGH_LATENCY'] | Latency=166.5332317352295 | Traffic=30
15:29:52 | Alertas=['MEDIUM_LATENCY', 'MEDIUM_TRAFFIC'] | Latency=82.33237266540527 | Traffic=88
15:29:54 | Alertas=[] | Latency=67.0022964477539 | Traffic=2
15:29:56 | Alertas=['MEDIUM_LATENCY'] | Latency=83.86635780334473 | Traffic=41
15:29:58 | Alertas=['MEDIUM_LATENCY'] | Latency=81.70056343078613 | Traffic=11
15:30:00 | Alertas=['MEDIUM_LATENCY'] | Latency=83.99772644042969 | Traffic=3
15:30:02 | Alertas=['MEDIUM_LATENCY'] | Latency=73.6093521118164 | Traffic=15
15:30:05 | Alertas=['MEDIUM_LATENCY'] | Latency=83.39571952819824 | Traffic=15
15:30:07 | Alertas=['MEDIUM_LATENCY'] | Latency=74.50985908508301 | Traffic=3
15:30:09 | Alertas=['MEDIUM_LATENCY'] | Latency=81.12406730651855 | Traffic=2
15:30:11 | Alertas=['MEDIUM_LATENCY'] | Latency=81.82287216186523 | Traffic=2
15:30:13 | Alertas=['MEDIUM_LATENCY'] | Latency=78.6597728729248 | Traffic=17
15:30:15 | Alertas=['MEDIUM_LATENCY'] | Latency=75.84905624389648 | Traffic=5
15:30:18 | Alertas=['MEDIUM_LATENCY'] | Latency=84.31148529052734 | Traffic=32
15:30:20 | Alertas=['MEDIUM_LATENCY'] | Latency=73.91047477722168 | Traffic=2
